Study,Cancer.Types,scale,Sample.Names,Accuracy,SBS1
PCAWG-WGS,Biliary-AdenoCA,genome,SP117655,0.968,1496
PCAWG-WGS,Biliary-AdenoCA,genome,SP117556,0.963,985
PCAWG-WGS,Biliary-AdenoCA,genome,SP117627,0.973,1110
PCAWG-WGS,Biliary-AdenoCA,genome,SP117775,0.987,1803
PCAWG-WGS,Biliary-AdenoCA,genome,SP117332,0.987,441
PCAWG-WGS,Biliary-AdenoCA,genome,SP117712,0.948,122
PCAWG-WGS,Biliary-AdenoCA,genome,SP117017,0.951,571
PCAWG-WGS,Biliary-AdenoCA,genome,SP117031,0.976,1926
PCAWG-WGS,Biliary-AdenoCA,genome,SP117759,0.982,2403
PCAWG-WGS,Biliary-AdenoCA,genome,SP117621,0.989,2210
PCAWG-WGS,Biliary-AdenoCA,genome,SP117425,0.996,998
PCAWG-WGS,Biliary-AdenoCA,genome,SP117930,0.966,1360
PCAWG-WGS,Biliary-AdenoCA,genome,SP99287,0.967,157
PCAWG-WGS,Biliary-AdenoCA,genome,SP99293,0.968,254
PCAWG-WGS,Biliary-AdenoCA,genome,SP99289,0.978,304
PCAWG-WGS,Biliary-AdenoCA,genome,SP99297,0.921,55
PCAWG-WGS,Biliary-AdenoCA,genome,SP99301,0.965,1892
PCAWG-WGS,Biliary-AdenoCA,genome,SP99305,0.96,286
PCAWG-WGS,Biliary-AdenoCA,genome,SP99309,0.95,285
PCAWG-WGS,Biliary-AdenoCA,genome,SP99313,0.974,137
PCAWG-WGS,Biliary-AdenoCA,genome,SP99317,0.945,81
PCAWG-WGS,Biliary-AdenoCA,genome,SP99321,0.981,907
PCAWG-WGS,Biliary-AdenoCA,genome,SP99325,0.98,21335
PCAWG-WGS,Biliary-AdenoCA,genome,SP99329,0.959,446
PCAWG-WGS,Biliary-AdenoCA,genome,SP99333,0.966,328
PCAWG-WGS,Biliary-AdenoCA,genome,SP99337,0.967,180
PCAWG-WGS,Biliary-AdenoCA,genome,SP99341,0.96,358
PCAWG-WGS,Biliary-AdenoCA,genome,SP99345,0.972,83
PCAWG-WGS,Biliary-AdenoCA,genome,SP99113,0.937,117
