"gene.symble","TPM"
"TNMD",0
"CYP51A1",0
"AOC1",0
"WNT16",0
"TMEM176A",0
"CALCR",0
"MEOX1",0
"KRT33A",0
"CCL18",0
"CCL3",0
"CDKL3",0
"CEACAM21",0
"CEACAM7",0
"FMO3",0
"NOX1",0
"CDK11A",0
"HHATL",0
"NME2",0
"DCN",0
"TYROBP",0
"ACPP",0
"CLCA1",0
"GABRA1",0
"VIM",0
"SLAMF7",0
"IBSP",0
"NR2E3",0
"EFCAB1",0
"STAP1",0
"OTC",0
"SLC18A1",0
"HOXC8",0
"XK",0
"ROS1",0
"TNFRSF17",0
"LY75",0
"SPO11",0
"CCDC85A",0
"SERPINB3",0
"DNAJC25",0
"WNT8A",0
"MRPS24",0
"GSC2",0
"DMRT3",0
"POU1F1",0
"SLC9A3",0
"KIF26A",0
"IFT80",0
"ADAM7",0
"SCT",0
"PRLH",0
"CDH19",0
"SLC6A15",0
"PTGS2",0
"SNCB",0
"FGF4",0
"PAX2",0
"SPAG5",0
"NMRK2",0
"TYR",0
"CST7",0
"HOXA9",0
"ADCYAP1R1",0
"RDH8",0
"ZNF506",0
"PCDHA6",0
"PCDHGA2",0
"C1QTNF3",0
"SERTAD4",0
"P2RX5",0
"EPYC",0
"ZNF8",0
"FCN1",0
"CHERP",0
"NME8",0
"PIGS",0
"MT3",0
"TFAP2C",0
"REM1",0
"DEFB127",0
"ZNF302",0
"CMTM1",0
"RGS1",0
"SI",0
"CHRD",0
"FLT3LG",0
"CD209",0
"CMA1",0
"CAPN3",0
"OR1I1",0
"KRT31",0
"FMO2",0
"TPSD1",0
"CRISP3",0
"NCR2",0
"PRTFDC1",0
"MAGEB2",0
"EFNA2",0
"AMELY",0
"MTAP",0
"DERL3",0
"SLC7A4",0
"SPECC1L",0
"GGTLC2",0
"DNAL4",0
"NEFH",0
"RASD2",0
"PNPLA5",0
"PVALB",0
"CTSG",0
"GZMH",0
"GZMB",0
"SERPINA4",0
"TM9SF1",0
"R3HDML",0
"PROKR2",0
"SIRPB1",0
"CST9L",0
"SPINT3",0
"EPPIN",0
"RBFA",0
"RNF125",0
"MXRA5",0
"RHOXF1",0
"ATP1B4",0
"TLR8",0
"LUZP4",0
"OPN1LW",0
"GPR50",0
"BRS3",0
"VGLL1",0
